timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm
44:58.8,45.25,97.57,-24.1,0
44:58.8,17.2,97.57,-28.5,0
44:58.8,6.2,97.57,-17.6,0
44:58.9,-13.1,97.57,-9.75,0
44:58.9,-31.05,97.57,-11.8,0
44:58.9,-52.1,97.57,-3,0
44:58.9,-72.1,97.57,4.35,0
44:58.9,-63.85,97.57,-1.55,0
44:58.9,-82.25,97.57,7.35,0
44:58.9,-91.3,97.57,-4.05,0
44:58.9,-97.2,97.57,1.75,0
44:58.9,-100,97.57,-4,0
44:58.9,-87.45,97.57,-0.95,0
44:59.0,-82.55,97.57,0.7,0
44:59.0,-84,97.57,5.1,0
44:59.0,-73.8,97.57,1.85,0
44:59.0,-62.25,97.57,-2.15,0
44:59.0,-55.1,97.57,6.65,0
44:59.0,-45.25,97.57,3.5,0
44:59.0,-47.05,97.57,0.1,0
44:59.0,-32.4,97.57,7.1,0
44:59.0,-28.55,97.57,-3.7,0
44:59.0,-27.5,97.57,-4.95,0
44:59.1,-28.6,97.57,-3.9,0
44:59.1,-19.4,97.57,0.75,0
44:59.1,-30.15,97.57,-4.9,0
44:59.1,-31.4,97.57,-0.4,0
44:59.1,-34.65,97.57,-2.15,0
44:59.1,-43.15,97.57,-1.5,0
44:59.1,-44.9,97.57,-11,0
44:59.1,-51.65,97.57,-2.65,0
44:59.1,-50.75,97.57,-1.7,0
44:59.1,-42.85,97.57,-4.5,0
44:59.2,-45.85,97.57,10,0
44:59.2,-47.2,97.57,13.5,0
44:59.2,-42.6,97.57,5.25,0
44:59.2,-41.75,97.57,12.4,0
44:59.2,-38,97.57,6.3,0
44:59.2,-36.05,97.57,9.85,0
44:59.2,-45.85,97.57,11.15,0
44:59.2,-28.85,97.57,0.4,0
44:59.2,-11.6,97.57,-5.55,0
44:59.2,-15.2,97.57,4.9,0
44:59.3,-6.4,97.57,-0.35,0
44:59.3,-1.45,97.57,-5.1,0
44:59.3,1.7,97.57,-8,0
44:59.3,8.35,97.57,-3.9,0
44:59.3,14.35,97.57,-11.5,0
44:59.3,19.45,97.57,-8.25,0
44:59.3,16.4,97.57,-12.3,0
44:59.3,11.05,97.57,-13.85,0
44:59.3,19.1,97.57,-7.65,0
44:59.3,7.9,97.57,-9.5,0
44:59.4,-1.2,97.57,-4.8,0
44:59.4,0.35,97.57,-15.3,0
44:59.4,-5.75,97.57,-26.55,0
44:59.4,-3.15,97.57,-15.85,0
44:59.4,7.85,97.57,-7.8,0
44:59.4,33.35,97.57,-13.2,0
44:59.4,58.65,97.57,-11.5,0
44:59.4,96.4,97.57,-6.55,0
44:59.4,126.95,97.57,1.7,0
44:59.4,161.9,97.57,5.35,0
44:59.5,191.1,97.57,3.85,0
44:59.5,215.5,97.57,7.9,0
44:59.5,227.6,97.57,4,0
44:59.5,233.85,78.5,6.2,0
